"gene"	"avg_log2fc"	"comb_adjpval"
"368"	"YBR164C"	0.0922106159142012	1
"369"	"YBR165W"	0.0472693945852424	1
"370"	"YBR166C"	0.846037089430537	0.999999384562584
"371"	"YBR167C"	0.589094596570089	0.925482017239097
"372"	"YBR169C"	-0.0999716692792759	1
"373"	"YBR170C"	-0.186844524301555	1
"374"	"YBR172C"	-0.345561175657211	1
"375"	"YBR175W"	-0.348337069006606	1
"376"	"YBR173C"	0.120294641099928	1
"377"	"YBR176W"	-0.166008138483643	0.999999999087477
"378"	"YBR177C"	0.232027668409183	1
"379"	"YBR179C"	0.162856890924505	1
"380"	"YBR180W"	-0.115423506284152	1
"381"	"YBR181C"	-0.319367404935166	1
"382"	"YBR182C-A"	0.135960417413123	0.999999999999956
"383"	"YBR182C"	-0.0537250522807469	1
"384"	"YBR183W"	0.211403823139712	1
"385"	"YBR184W"	-0.274426280829042	1
"386"	"YBR185C"	0.0483784345266603	1
"387"	"YBR186W"	-0.143092112253555	1
"388"	"YBR187W"	-0.32187518819664	1
"389"	"YBR188C"	0.111331362807269	1
"390"	"YBR189W"	-0.515940158632766	0.999999999999956
"391"	"YBR191W"	-0.0481085458731255	1
"392"	"YBR192W"	0.251082847087069	1
"393"	"YBR193C"	0.162211241714013	1
"394"	"YBR194W"	0.262578320250247	0.999978639642304
"395"	"YBR195C"	0.0585174607917152	1
"396"	"YBR196C-A"	-0.0645919854317492	1
"397"	"YBR196C-B"	0.105794058899364	1
"398"	"YBR196C"	-0.269625094410954	1
"399"	"YBR197C"	-0.00828943440026525	1
"400"	"YBR198C"	0.0626440796799995	1
"401"	"YBR200W-A"	0.0406252113575084	1
"402"	"YBR200W"	-0.0477666189654514	1
"403"	"YBR201C-A"	0.360417693694756	1
"404"	"YBR201W"	0.055593091031695	1
"405"	"YBR202W"	0.124401621026513	1
"406"	"YBR203W"	0.106406946688121	1
"407"	"YBR204C"	0.148931590714219	1
"408"	"YBR205W"	-0.0946697481133755	1
"409"	"YBR207W"	-0.132280855834549	1
"410"	"YBR208C"	0.0547771519985884	1
"411"	"YBR210W"	-0.113808473842085	1
"412"	"YBR211C"	-0.277329893610283	1
"413"	"YBR212W"	0.257757906852189	0.999999999999956
"414"	"YBR213W"	0.117593744222325	1
"415"	"YBR214W"	0.0381916852175114	1
"416"	"YBR215W"	-0.182599486339742	1
"417"	"YBR216C"	0.051448164465773	1
"418"	"YBR217W"	0.240945338037589	0.999999999999956
"419"	"YBR218C"	0.0405859381704664	1
"420"	"YBR219C"	0.014152919558858	1
"421"	"YBR220C"	-0.188208423240103	1
"422"	"YBR221C"	0.0394886206539878	1
"423"	"YBR221W-A"	-0.166761742801295	1
"424"	"YBR222C"	-0.0356777838150896	1
"425"	"YBR225W"	0.0309659947253214	1
"426"	"YBR223C"	0.201608814908356	1
"427"	"YBR227C"	-0.0310292750780843	1
"428"	"YBR228W"	0.52987367728448	0.999999999087477
"429"	"YBR229C"	0.0159526906135638	1
"430"	"YBR230C"	-0.0392507365012918	1
"431"	"YBR230W-A"	0.0749839643254936	0.999999999087477
"432"	"YBR231C"	0.0554748568115399	1
"433"	"YBR233W-A"	0.100870135936849	1
"434"	"YBR233W"	0.102816416035489	0.999999999087477
"435"	"YBR234C"	0.0333628637056343	1
"436"	"YBR235W"	0.724973688032492	0.999978639642304
"437"	"YBR236C"	-0.0695059949090351	1
"438"	"YBR237W"	-1.6430267264809	0.999978639642304
"439"	"YBR238C"	-0.234436437768854	1
"440"	"YBR239C"	-0.0852621438453961	1
"441"	"YBR240C"	-0.0622251137285001	1
"442"	"YBR241C"	-0.0189797796213563	1
"443"	"YBR242W"	0.187226964139649	1
"444"	"YBR243C"	0.00972661542818164	0.999999999999956
"445"	"YBR244W"	-0.0530291430503628	1
"446"	"YBR245C"	-0.139932088271511	1
"447"	"YBR246W"	0.0649494670402544	1
"448"	"YBR247C"	-0.0478336809550978	1
"449"	"YBR248C"	0.75308990643553	0.996382712533487
"450"	"YBR249C"	0.0561310962535106	1
"451"	"YBR250W"	-0.121468147870892	1
"452"	"YBR251W"	0.0622101474367747	1
"453"	"YBR252W"	-0.208438780189014	1
"454"	"YBR253W"	-0.0253067495902612	0.999999999999956
"455"	"YBR255W"	-0.337416939171506	1
"456"	"YBR255C-A"	-0.0451759183547415	1
"457"	"YBR256C"	0.0279870688049272	1
"458"	"YBR257W"	0.329561883312315	0.984313040187308
"459"	"YBR258C"	0.237760648741858	1
"460"	"YBR259W"	-0.0329814800539551	0.999999999999956
"461"	"YBR260C"	0.231285949971415	1
"462"	"YBR261C"	0.0962454910055638	1
"463"	"YBR262C"	-0.0643415077666624	1
"464"	"YBR263W"	-0.0217785240299283	1
"465"	"YBR265W"	0.0681907726752816	1
"466"	"YBR264C"	-0.0274354259682271	1
"467"	"YBR267W"	-0.221739616254418	1
"468"	"YBR268W"	-0.486396513976033	1
"469"	"YBR269C"	-0.062345352889422	1
"470"	"YBR270C"	0.0650989021578821	1
"471"	"YBR271W"	-0.087199182899834	1
"472"	"YBR272C"	0.095782939338763	1
"473"	"YBR273C"	-0.339713548733722	0.999978639642304
"474"	"YBR274W"	-0.41189811715949	0.999999999087477
"475"	"YBR275C"	0.0252421005326449	1
"476"	"YBR276C"	-0.07886415638232	1
"477"	"YBR278W"	-0.109530503472373	1
"478"	"YBR279W"	-0.0280855089625387	1
"479"	"YBR280C"	-0.0262979168019987	1
"480"	"YBR281C"	0.227901626724074	1
"481"	"YBR282W"	-0.0892087167930143	1
"482"	"YBR283C"	0.0515832738360562	1
"483"	"YBR284W"	-0.142995213228395	1
"484"	"YBR285W"	-0.290776230273394	1
"485"	"YBR286W"	0.03907876483984	1
"486"	"YBR287W"	0.0532571257508065	1
"487"	"YBR288C"	-0.0901710536906113	0.999999999999956
"488"	"YBR289W"	-0.137516242876207	1
"489"	"YBR290W"	-0.0628062779127086	1
"490"	"YBR291C"	-0.125172603859491	0.999999999999956
"491"	"YBR293W"	-0.14557897705869	1
"492"	"YBR294W"	0.0113007167837544	1
"493"	"YBR295W"	0.123909655556505	1
"494"	"YBR296C-A"	-0.0492375675684974	1
"495"	"YBR296C"	-0.0230700582920845	1
"496"	"YBR297W"	-0.265391051161428	0.999999999087477
"497"	"YBR298C-A"	0.0812338129545616	0.999999999999956
"498"	"YBR298C"	-0.0341446581330538	1
"499"	"YBR299W"	0.169945680412413	0.999978639642304
"500"	"YBR301W"	-0.451657508528202	1
"501"	"YBR302C"	0.19246113579833	0.999999999999956
"502"	"YCL001W-A"	0.0653295715882715	1
"503"	"YCL001W-B"	0.0275568017579919	1
"504"	"YCL001W"	0.0567314050350965	1
"505"	"YCL004W"	0.0336685710376916	1
